id,initial_fen,moves,starting_color,motives,created_at,session,order_in_session,group
98,8/1pr1kppp/4bp2/3p4/1n1P3P/1P3NP1/1Q3PK1/8 w - - 0 1,['b2a3'],white,Pin,2025-03-01 01:13:15.009872,5,10,4
50,1r1q1rk1/pp1bbp1p/1np3p1/8/3N4/1N1Q2PP/PP2PPBK/R4R2 b - - 0 1,"['c6c5', 'd4f3', 'c5c4']",black,Fork,2025-02-28 01:43:59.692447,5,11,4
106,8/6pk/2pq3p/2n2p2/r7/1Q4PP/5BPK/1R6 w - - 0 1,"['f2c5', 'd6c5', 'b3a4']",white,Undermining,2025-03-05 16:35:08.704419,5,12,4
44,rnbqk2r/p1ppb1pp/1p6/4pp2/4n3/1BP2N2/PP3PPP/R1BQKN1R w KQkq - 0 1,"['d1d5', 'h8f8', 'd5a8']",white,Fork,2025-02-28 01:32:21.890957,5,13,4
86,r4k2/1p2n3/p1p5/2Pp1b1p/PP1P3P/R3N1B1/3K4/8 w - - 0 1,"['e3f5', 'e7f5', 'a3f3']",white,Pin,2025-03-01 00:58:31.940390,5,14,4
32,6r1/pkpq3p/6p1/2P5/2NP1P2/1P5R/7K/3Q4 w - - 0 1,"['c5c6', 'd7c6', 'c4a5', 'b7b6', 'a5c6']",white,Fork,2025-02-27 22:15:33.999464,5,15,4
54,3r1r1k/ppb3p1/5n1p/7B/8/2P3NP/PP3PRP/4R2K b - - 0 1,"['c7g3', 'g2g3', 'f6h5']",black,Undermining,2025-02-28 13:09:29.739883,5,16,4
77,3r2rk/p4p1p/3p1Pp1/3R4/2p1B2Q/8/1q4PP/4R1K1 w - - 0 1,"['h4h7', 'h8h7', 'd5h5']",white,Pin,2025-02-28 15:06:28.804361,5,17,4
72,6k1/p4p2/6p1/1p6/n2QPPN1/qP5R/P1P3r1/1K6 b - - 0 1,"['g2g1', 'd4g1', 'a3b2']",black,Undermining,2025-02-28 14:06:54.529275,5,18,4
104,2kr1N1Q/ppp1n3/3p2pn/8/2B2q2/N4P1b/PPP3PP/4RK1R b - - 0 1,"['f4f3', 'f1g1', 'f3g2']",black,Pin,2025-03-01 01:19:18.596489,5,19,4
62,8/R6n/3p1rpk/3B3p/3Q4/7P/6PK/4q3 w - - 0 1,"['a7h7', 'h6h7', 'd4f6']",white,Undermining,2025-02-28 13:18:34.593224,5,20,4
